Country,External debt stocks (% of GNI),GDP per capita,Total population (2011)
Saudi Arabia,0.00,1737.11,12767556.00
Senegal,28.50,9809.00,9853969.00
Serbia,84.27,23172.16,86879.00
Seychelles,176.65,769.16,5997486.00
Sierra Leone,40.84,53591.09,5187933.00
Singapore,0.00,20756.73,5471502.00
Slovak Republic,0.00,24967.47,2035012.00
Slovenia,0.00,2581.09,552267.00
Solomon Islands,38.85,600.00,9556873.00
Somalia,0.00,9678.16,50459978.00
South Africa,12.67,1275.30,9897118.00
Spain,0.00,27063.00,46454895.00
Sri Lanka,41.81,4928.99,21045394.00
Sudan,39.05,1877.72,34735288.00
Suriname,0.00,12398.00,529419.00
Swaziland,17.17,5348.78,1203330.00
Sweden,0.00,35047.56,9440747.00
Switzerland,0.00,37979.01,7701690.00
Syria,8.16,2802.00,20766037.00
Tajikistan,53.05,2052.48,6976958.00
Tanzania,37.65,1334.04,46218486.00
Thailand,23.36,7633.01,69518555.00
Timor-Leste,0.00,1393.14,1153834.00
Togo,61.15,914.05,6154813.00
Tonga,39.67,4091.93,104509.00
Trinidad and Tobago,0.00,22760.55,1346350.00
Tunisia,51.10,8257.70,10594057.00
Turkey,40.40,13466.33,73639596.00
Turkmenistan,2.13,8055.21,5105301.00
Uganda,17.90,1187.65,34509205.00
Ukraine,85.90,6359.10,45190180.00
United Arab Emirates,0.00,42293.05,7890924.00
United Kingdom,0.00,32473.55,62417431.00
United States,0.00,42485.98,313085380.00
Uruguay,28.98,13314.93,3380008.00
Uzbekistan,18.98,2902.95,27760267.00
Vanuatu,20.92,4061.96,245619.00
Venezuela,14.34,11257.96,29436891.00
Vietnam,36.48,3012.66,88791996.00
Yemen Rep.,0.00,2060.28,24799880.00
Zambia,25.80,1423.45,13474959.00
Zimbabwe,71.78,589.00,12754378.00
